"ORDEN","CLASE","MARCA","MODELO","FECHA MATRICULA/RADICACION","AÑO","MES","DIA"
"200","MOTOCICLETA","SUZUKI","2000","02/08/2000","2000","08.agosto","02.miércoles"
"201","MOTOCICLETA","SUZUKI","1999","14/03/2000","2000","03.marzo","14.martes"
"202","MOTOCICLETA","YAMAHA","2000","04/05/2000","2000","05.mayo","04.jueves"
"203","AUTOMOVIL","MAZDA","1994","03/08/2000","2000","08.agosto","03.jueves"
"204","AUTOMOVIL","MAZDA","1995","02/11/2000","2000","11.noviembre","02.jueves"
"205","CAMIONETA","CHEVROLET","1994","17/05/2000","2000","05.mayo","17.miércoles"
"206","MOTOCICLETA","HONDA","2001","20/09/2000","2000","09.septiembre","20.miércoles"
"207","MICROBUS","CHEVROLET","2000","27/01/2000","2000","01.enero","27.jueves"
"208","MOTOCICLETA","HONDA","2000","19/01/2000","2000","01.enero","19.miércoles"
"209","MOTOCICLETA","YAMAHA","2000","01/08/2000","2000","08.agosto","01.martes"
"210","AUTOMOVIL","RENAULT","1989","24/02/2000","2000","02.febrero","24.jueves"
"211","AUTOMOVIL","CHEVROLET","1995","28/12/2000","2000","12.diciembre","28.jueves"
"212","CAMION","MAZDA","2000","06/04/2000","2000","04.abril","06.jueves"
"213","MOTOCICLETA","HONDA","2000","04/05/2000","2000","05.mayo","04.jueves"
"214","CAMIONETA","CHEVROLET","1986","01/11/2000","2000","11.noviembre","01.miércoles"
"215","MOTOCICLETA","YAMAHA","2000","07/09/2000","2000","09.septiembre","07.jueves"
"216","CAMIONETA","CHEVROLET","2000","27/10/2000","2000","10.octubre","27.viernes"
"217","MOTOCICLETA","SUZUKI","2000","19/01/2000","2000","01.enero","19.miércoles"
"218","CAMIONETA","CHEVROLET","2000","13/06/2000","2000","06.junio","13.martes"
"219","AUTOMOVIL","MAZDA","1984","30/10/2000","2000","10.octubre","30.lunes"
"220","BUSETA","CHEVROLET","2000","29/05/2000","2000","05.mayo","29.lunes"
"221","MOTOCICLETA","HONDA","2000","12/06/2000","2000","06.junio","12.lunes"
"222","MOTOCICLETA","QINGQI","1994","14/12/2000","2000","12.diciembre","14.jueves"
"223","MOTOCICLETA","HONDA","2000","02/06/2000","2000","06.junio","02.viernes"
"224","MOTOCICLETA","YAMAHA","2000","20/09/2000","2000","09.septiembre","20.miércoles"
"225","AUTOMOVIL","MAZDA","1989","14/03/2000","2000","03.marzo","14.martes"
"226","MOTOCICLETA","SUZUKI","2000","28/08/2000","2000","08.agosto","28.lunes"
"227","AUTOMOVIL","MAZDA","1988","12/02/2000","2000","02.febrero","12.sábado"
"228","AUTOMOVIL","CHEVROLET","1994","11/10/2000","2000","10.octubre","11.miércoles"
"229","CAMIONETA","MITSUBISHI","1994","02/03/2000","2000","03.marzo","02.jueves"
"230","MOTOCICLETA","YAMAHA","1997","31/10/2000","2000","10.octubre","31.martes"
"231","AUTOMOVIL","HYUNDAI","2000","18/01/2000","2000","01.enero","18.martes"
"232","MOTOCICLETA","SUZUKI","2000","14/06/2000","2000","06.junio","14.miércoles"
"233","MOTOCICLETA","YAMAHA","2001","22/11/2000","2000","11.noviembre","22.miércoles"
"234","MOTOCICLETA","SUZUKI","1997","29/11/2000","2000","11.noviembre","29.miércoles"
"235","MOTOCICLETA","YAMAHA","1998","18/09/2000","2000","09.septiembre","18.lunes"
"236","AUTOMOVIL","CHEVROLET","2000","23/01/2000","2000","01.enero","23.domingo"
"237","CAMIONETA","CHEVROLET","1987","15/06/2000","2000","06.junio","15.jueves"
"238","MOTOCICLETA","YAMAHA","2000","21/07/2000","2000","07.julio","21.viernes"
"239","MOTOCICLETA","YAMAHA","1993","29/08/2000","2000","08.agosto","29.martes"
"240","MOTOCICLETA","HONDA","2000","14/04/2000","2000","04.abril","14.viernes"
"241","CAMPERO","WILLYS","1954","07/06/2000","2000","06.junio","07.miércoles"
"242","MOTOCICLETA","YAMAHA","2000","25/07/2000","2000","07.julio","25.martes"
"243","CAMIONETA","CHEVROLET","2000","26/09/2000","2000","09.septiembre","26.martes"
"244","MOTOCICLETA","HONDA","2000","14/08/2000","2000","08.agosto","14.lunes"
"245","AUTOMOVIL","CHEVROLET","1992","23/10/2000","2000","10.octubre","23.lunes"
"246","MOTOCICLETA","HONDA","2001","07/11/2000","2000","11.noviembre","07.martes"
